City,total_hospitals,total_beds,average_beds,bed_to_hospital_ratio
Santa Maria,1,200,200.0,200.0
Santa Monica,2,400,200.0,200.0
Santa Rosa,4,800,200.0,200.0
Sapulpa,1,30,30.0,30.0
Saranac Lake,1,200,200.0,200.0
Sarasota,2,400,200.0,200.0
Saratoga Springs,1,200,200.0,200.0
Satanta,1,30,30.0,30.0
Sauk Centre,1,30,30.0,30.0
Sault Sainte Marie,1,200,200.0,200.0
Savannah,4,800,200.0,200.0
Sayre,1,200,200.0,200.0
Schenectady,2,400,200.0,200.0
Schuyler,1,30,30.0,30.0
Scobey,1,30,30.0,30.0
Scotland,1,30,30.0,30.0
Scotland Neck,1,30,30.0,30.0
Scott City,1,30,30.0,30.0
Scottsbluff,1,200,200.0,200.0
Scottsboro,1,200,200.0,200.0
Scottsburg,1,30,30.0,30.0
Scottsdale,3,600,200.0,200.0
Scottsville,1,30,30.0,30.0
Scranton,3,600,200.0,200.0
Seaford,1,200,200.0,200.0
Seaman,1,30,30.0,30.0
Searcy,1,200,200.0,200.0
Seaside,1,30,30.0,30.0
Seattle,8,1500,187.5,187.5
Sebastian,1,200,200.0,200.0
Sebastopol,1,200,200.0,200.0
Sebring,2,400,200.0,200.0
Secaucus,1,200,200.0,200.0
Sedalia,1,200,200.0,200.0
Sedan,1,30,30.0,30.0
Sedro Woolley,1,30,30.0,30.0
Seguin,1,200,200.0,200.0
Seiling,1,30,30.0,30.0
Sellersville,1,200,200.0,200.0
Sells,1,200,200.0,200.0
Selma,1,200,200.0,200.0
Seminole,2,230,115.0,115.0
Senatobia,1,200,200.0,200.0
Seneca,3,430,143.33333333333334,143.33333333333334
Sevierville,1,200,200.0,200.0
Seward,2,60,30.0,30.0
Sewickley,1,200,200.0,200.0
Seymour,2,400,200.0,200.0
Shakopee,1,200,200.0,200.0
Shamrock,1,30,30.0,30.0
Sharon,2,400,200.0,200.0
Shattuck,1,30,30.0,30.0
Shawano,1,30,30.0,30.0
Shawnee,1,200,200.0,200.0
Shawnee Mission,1,200,200.0,200.0
Sheboygan,2,400,200.0,200.0
Sheffield,1,200,200.0,200.0
Shelby,4,290,72.5,72.5
Shelbyville,4,800,200.0,200.0
Sheldon,1,30,30.0,30.0
Shell Lake,1,30,30.0,30.0
Shelton,1,30,30.0,30.0
Shenandoah,2,230,115.0,115.0
Sheridan,3,260,86.66666666666667,86.66666666666667
Sherman,2,400,200.0,200.0
Sherman Oaks,1,200,200.0,200.0
Sherwood,1,200,200.0,200.0
Shiloh,1,200,200.0,200.0
Shiprock,1,200,200.0,200.0
Show Low,1,200,200.0,200.0
Shreveport,5,900,180.0,180.0
Sibley,1,30,30.0,30.0
Sidney,4,460,115.0,115.0
Sierra Vista,1,200,200.0,200.0
Sigourney,1,30,30.0,30.0
Sikeston,1,200,200.0,200.0
Siler City,1,30,30.0,30.0
Siloam Springs,1,200,200.0,200.0
Silver City,1,200,200.0,200.0
Silver Spring,1,200,200.0,200.0
Silverton,1,200,200.0,200.0
Silvis,1,200,200.0,200.0
Simi Valley,1,200,200.0,200.0
Simpsonville,1,200,200.0,200.0
Sioux Center,1,30,30.0,30.0
Sioux City,2,400,200.0,200.0
Sioux Falls,5,900,180.0,180.0
Sisseton,1,30,30.0,30.0
Sistersville,1,30,30.0,30.0
Sitka,2,60,30.0,30.0
Skowhegan,1,30,30.0,30.0
Slayton,1,30,30.0,30.0
Sleepy Eye,1,30,30.0,30.0
Sleepy Hollow,1,200,200.0,200.0
Slidell,4,800,200.0,200.0
Smith Center,1,30,30.0,30.0
Smithfield,1,200,200.0,200.0
Smithtown,1,200,200.0,200.0
Smithville,2,400,200.0,200.0
Smyrna,1,200,200.0,200.0
Sneedville,1,30,30.0,30.0
Snellville,1,200,200.0,200.0
Snoqualmie,1,30,30.0,30.0
Snyder,1,30,30.0,30.0
Socorro,1,30,30.0,30.0
Soda Springs,1,30,30.0,30.0
Soldotna,1,200,200.0,200.0
Solvang,1,30,30.0,30.0
Somers Point,1,200,200.0,200.0
Somerset,2,400,200.0,200.0
Somerville,1,200,200.0,200.0
Sonoma,1,200,200.0,200.0
Sonora,2,230,115.0,115.0
South Bend,2,230,115.0,115.0
South Boston,1,200,200.0,200.0
South Charleston,1,200,200.0,200.0
South El Monte,1,200,200.0,200.0
South Haven,1,200,200.0,200.0
South Hill,1,200,200.0,200.0
South Lake Tahoe,1,200,200.0,200.0
South Miami,2,400,200.0,200.0
South San Francisco,1,200,200.0,200.0
South Weymouth,1,200,200.0,200.0
South Williamson,1,200,200.0,200.0
Southampton,1,200,200.0,200.0
Southaven,1,200,200.0,200.0
Southbridge,1,200,200.0,200.0
Southfield,3,600,200.0,200.0
Southlake,1,200,200.0,200.0
Southport,1,30,30.0,30.0
Sparks,1,200,200.0,200.0
Sparta,4,290,72.5,72.5
Spartanburg,2,400,200.0,200.0
Spearfish,1,200,200.0,200.0
Spearman,1,30,30.0,30.0
Spencer,2,230,115.0,115.0
Spirit Lake,1,200,200.0,200.0
Spokane,5,900,180.0,180.0
Spooner,1,30,30.0,30.0
Spring Valley,1,200,200.0,200.0
Springdale,1,200,200.0,200.0
Springerville,1,30,30.0,30.0
Springfield,16,2420,151.25,151.25
Springhill,1,200,200.0,200.0
Springville,1,200,200.0,200.0
Spruce Pine,1,30,30.0,30.0
St Croix,1,200,200.0,200.0
St Francis,1,30,30.0,30.0
St George,1,200,200.0,200.0
St James,1,30,30.0,30.0
St Joseph,1,200,200.0,200.0
St Maries,1,30,30.0,30.0
St Paul,1,30,30.0,30.0
St Peter,1,30,30.0,30.0
St Thomas,1,200,200.0,200.0
Stafford,2,230,115.0,115.0
Stafford Springs,1,200,200.0,200.0
Stamford,2,400,200.0,200.0
Standish,1,30,30.0,30.0
Stanford,2,230,115.0,115.0
Stanley,2,60,30.0,30.0
Stanton,1,30,30.0,30.0
Staples,1,30,30.0,30.0
Star Lake,1,30,30.0,30.0
Starke,1,30,30.0,30.0
Starkville,1,200,200.0,200.0
State College,1,200,200.0,200.0
Staten Island,2,400,200.0,200.0
Statesboro,1,200,200.0,200.0
Statesville,2,400,200.0,200.0
Staunton,1,30,30.0,30.0
Stayton,1,200,200.0,200.0
Steamboat Springs,1,200,200.0,200.0
Stephenville,1,200,200.0,200.0
Sterling,2,400,200.0,200.0
Steubenville,1,200,200.0,200.0
Stevens Point,1,200,200.0,200.0
Stigler,1,30,30.0,30.0
Stillwater,2,400,200.0,200.0
Stilwell,1,200,200.0,200.0
Stockbridge,1,200,200.0,200.0
Stockton,2,400,200.0,200.0
Stony Brook,1,200,200.0,200.0
Storm Lake,1,30,30.0,30.0
Stoughton,1,30,30.0,30.0
Stratford,1,200,200.0,200.0
Stroud,1,30,30.0,30.0
Stroudsburg,1,200,200.0,200.0
Stuart,2,230,115.0,115.0
Sturgeon Bay,1,30,30.0,30.0
Sturgis,2,230,115.0,115.0
Stuttgart,1,200,200.0,200.0
Suffern,1,200,200.0,200.0
Suffolk,1,200,200.0,200.0
Sugar Land,5,1000,200.0,200.0
Sullivan,2,60,30.0,30.0
Sulphur,2,230,115.0,115.0
Sulphur Springs,1,200,200.0,200.0
Summersville,1,200,200.0,200.0
Summit,2,400,200.0,200.0
Sumner,1,30,30.0,30.0
Sumter,1,200,200.0,200.0
Sun City,2,400,200.0,200.0
Sun City Center,1,200,200.0,200.0
Sun City West,1,200,200.0,200.0
Sun Valley,1,200,200.0,200.0
Sunbury,1,200,200.0,200.0
Sundance,1,30,30.0,30.0
Sunnyside,1,30,30.0,30.0
Sunnyvale,1,200,200.0,200.0
Superior,3,90,30.0,30.0
Supply,1,200,200.0,200.0
Susanville,1,30,30.0,30.0
Susquehanna,1,30,30.0,30.0
Swainsboro,1,200,200.0,200.0
Sweeny,1,30,30.0,30.0
Sweet Springs,1,30,30.0,30.0
Sweetwater,2,400,200.0,200.0
Sylacauga,1,200,200.0,200.0
Sylmar,1,200,200.0,200.0
Sylva,1,200,200.0,200.0
Sylvania,2,230,115.0,115.0
Sylvester,1,30,30.0,30.0
Syracuse,5,660,132.0,132.0
T Or C,1,30,30.0,30.0
Tacoma,3,500,166.66666666666666,166.66666666666666
Tahlequah,2,400,200.0,200.0
Tahoka,1,30,30.0,30.0
Takoma Park,1,200,200.0,200.0
Talihina,1,200,200.0,200.0
Talladega,1,200,200.0,200.0
Tallahassee,2,400,200.0,200.0
Tallassee,1,200,200.0,200.0
Tallulah,1,30,30.0,30.0
Tamarac,1,200,200.0,200.0
Tampa,7,1300,185.71428571428572,185.71428571428572
Tamuning,1,200,200.0,200.0
Taos,1,200,200.0,200.0
Tappahannock,1,200,200.0,200.0
Tarboro,1,200,200.0,200.0
Tarpon Springs,1,200,200.0,200.0
Tarzana,1,200,200.0,200.0
Taunton,1,200,200.0,200.0
Tavares,1,200,200.0,200.0
Tavernier,1,30,30.0,30.0
Tawas City,1,200,200.0,200.0
Taylor,2,230,115.0,115.0
Taylorville,1,30,30.0,30.0
Tazewell,2,400,200.0,200.0
Teaneck,1,200,200.0,200.0
Tecumseh,2,60,30.0,30.0
Tehachapi,1,30,30.0,30.0
Tell City,1,30,30.0,30.0
Temecula,1,200,200.0,200.0
Temple,1,200,200.0,200.0
Templeton,1,200,200.0,200.0
Terre Haute,2,400,200.0,200.0
Terry,1,30,30.0,30.0
Texarkana,2,400,200.0,200.0
The Dalles,1,200,200.0,200.0
The Villages,1,200,200.0,200.0
The Woodlands,2,400,200.0,200.0
Thermopolis,1,30,30.0,30.0
Thibodaux,1,200,200.0,200.0
Thief River Falls,1,30,30.0,30.0
Thomaston,1,200,200.0,200.0
Thomasville,2,400,200.0,200.0
Thomson,1,200,200.0,200.0
Thornton,1,200,200.0,200.0
Thousand Oaks,1,200,200.0,200.0
Three Rivers,1,200,200.0,200.0
Throckmorton,1,30,30.0,30.0
Ticonderoga,1,30,30.0,30.0
Tiffin,1,200,200.0,200.0
Tifton,1,200,200.0,200.0
Tillamook,1,30,30.0,30.0
Tioga,1,30,30.0,30.0
Tipton,1,30,30.0,30.0
Tishomingo,1,30,30.0,30.0
Titusville,2,230,115.0,115.0
Toccoa,1,200,200.0,200.0
Toledo,4,800,200.0,200.0
Tomah,1,30,30.0,30.0
Tomahawk,1,30,30.0,30.0
Tomball,2,400,200.0,200.0
Tompkinsville,1,200,200.0,200.0
Toms River,1,200,200.0,200.0
Tonasket,1,30,30.0,30.0
Tooele,1,200,200.0,200.0
Topeka,2,400,200.0,200.0
Toppenish,1,200,200.0,200.0
Torrance,3,600,200.0,200.0
Torrington,2,230,115.0,115.0
Towanda,1,200,200.0,200.0
Town And Country,1,200,200.0,200.0
Townsend,1,30,30.0,30.0
Townshend,1,30,30.0,30.0
Towson,1,200,200.0,200.0
Tracy,2,230,115.0,115.0
Transfer,1,200,200.0,200.0
Traverse City,1,200,200.0,200.0
Tremonton,1,200,200.0,200.0
Trenton,4,630,157.5,157.5
Tribune,1,30,30.0,30.0
Trinidad,1,30,30.0,30.0
Trinity,2,400,200.0,200.0
Trophy Club,1,200,200.0,200.0
Troy,9,1290,143.33333333333334,143.33333333333334
Truckee,1,30,30.0,30.0
Tualatin,1,200,200.0,200.0
Tuba City,1,200,200.0,200.0
Tucson,6,1200,200.0,200.0
Tucumcari,1,30,30.0,30.0
Tulare,1,200,200.0,200.0
Tulia,1,30,30.0,30.0
Tullahoma,1,200,200.0,200.0
Tulsa,10,2000,200.0,200.0
Tunkhannock,1,200,200.0,200.0
Tupelo,1,200,200.0,200.0
Turlock,1,200,200.0,200.0
Turtle Lake,1,30,30.0,30.0
Tuscaloosa,1,200,200.0,200.0
Tustin,1,200,200.0,200.0
Twin Falls,1,200,200.0,200.0
Two Harbors,1,30,30.0,30.0
Two Rivers,1,200,200.0,200.0
Tyler,5,830,166.0,166.0
Tylertown,1,30,30.0,30.0
Tyndall,1,30,30.0,30.0
Tyrone,1,30,30.0,30.0
Ukiah,1,200,200.0,200.0
Ulysses,1,200,200.0,200.0
Union,2,230,115.0,115.0
Union City,1,200,200.0,200.0
Union Springs,1,200,200.0,200.0
Uniontown,1,200,200.0,200.0
Unionville,1,30,30.0,30.0
Upland,2,400,200.0,200.0
Upper Sandusky,1,30,30.0,30.0
Urbana,3,430,143.33333333333334,143.33333333333334
Utica,2,400,200.0,200.0
Uvalde,1,30,30.0,30.0
Vacaville,1,200,200.0,200.0
Vail,1,200,200.0,200.0
Valdez,1,30,30.0,30.0
Valdosta,1,200,200.0,200.0
Valencia,1,200,200.0,200.0
Valentine,1,30,30.0,30.0
Valhalla,2,300,150.0,150.0
Vallejo,2,400,200.0,200.0
Valley City,1,30,30.0,30.0
Valparaiso,1,200,200.0,200.0
Van Buren,1,200,200.0,200.0
Van Horn,1,30,30.0,30.0
Van Nuys,1,200,200.0,200.0
Van Wert,1,200,200.0,200.0
Vancouver,2,400,200.0,200.0
Vandalia,1,30,30.0,30.0
Varnville,1,200,200.0,200.0
Vega Baja,1,200,200.0,200.0
Venice,1,200,200.0,200.0
Ventura,2,400,200.0,200.0
Vermillion,1,30,30.0,30.0
Vernal,1,200,200.0,200.0
Vernon,1,200,200.0,200.0
Vero Beach,1,200,200.0,200.0
Versailles,1,30,30.0,30.0
Viborg,1,30,30.0,30.0
Vicksburg,1,200,200.0,200.0
Victoria,2,400,200.0,200.0
Victorville,2,400,200.0,200.0
Vidalia,1,200,200.0,200.0
Villa Rica,1,200,200.0,200.0
Ville Platte,1,200,200.0,200.0
Vincennes,1,200,200.0,200.0
Vineland,1,200,200.0,200.0
Vinita,1,200,200.0,200.0
Vinton,1,30,30.0,30.0
Virginia,1,200,200.0,200.0
Virginia Beach,2,400,200.0,200.0
Viroqua,1,30,30.0,30.0
Visalia,1,200,200.0,200.0
Vivian,1,30,30.0,30.0
W Concord,1,200,200.0,200.0
Wa Keeney,1,30,30.0,30.0
Wabash,1,30,30.0,30.0
Wabasha,1,30,30.0,30.0
Waco,2,400,200.0,200.0
Waconia,1,200,200.0,200.0
Wadena,1,30,30.0,30.0
Wadesboro,1,200,200.0,200.0
Wagner,1,30,30.0,30.0
Wagoner,1,200,200.0,200.0
Wahiawa,1,200,200.0,200.0
Wahoo,1,30,30.0,30.0
Wailuku,1,200,200.0,200.0
Waimea,1,30,30.0,30.0
Wakefield,1,200,200.0,200.0
Waldron,1,30,30.0,30.0
Walla Walla,2,400,200.0,200.0
Wallingford,1,200,200.0,200.0
Walnut Creek,2,400,200.0,200.0
Walnut Ridge,1,30,30.0,30.0
Walsenburg,1,30,30.0,30.0
Walterboro,1,200,200.0,200.0
Walton,1,30,30.0,30.0
Wamego,1,30,30.0,30.0
Ware,1,200,200.0,200.0
Warm Springs,1,30,30.0,30.0
Warner Robins,1,200,200.0,200.0
Warren,7,1060,151.42857142857142,151.42857142857142
Warrensburg,1,200,200.0,200.0
Warrensville Heights,1,200,200.0,200.0
Warrenton,1,200,200.0,200.0
Warsaw,2,400,200.0,200.0
Warwick,2,400,200.0,200.0
Waseca,1,30,30.0,30.0
Washington,16,2590,161.875,161.875
Washington Ch,1,30,30.0,30.0
Water Valley,1,200,200.0,200.0
Waterbury,2,400,200.0,200.0
Waterloo,2,400,200.0,200.0
Watertown,3,600,200.0,200.0
Waterville,1,200,200.0,200.0
Watervliet,1,200,200.0,200.0
Watford City,1,30,30.0,30.0
Watonga,1,30,30.0,30.0
Watseka,1,200,200.0,200.0
Watsonville,1,200,200.0,200.0
Wauchula,1,30,30.0,30.0
Waukegan,2,400,200.0,200.0
Waukesha,1,200,200.0,200.0
Waukon,1,30,30.0,30.0
Waupaca,1,30,30.0,30.0
Waupun,1,30,30.0,30.0
Waurika,1,30,30.0,30.0
Wausau,1,200,200.0,200.0
Wauseon,1,30,30.0,30.0
Waverly,3,90,30.0,30.0
Waxahachie,1,200,200.0,200.0
Waycross,1,200,200.0,200.0
Wayne,2,230,115.0,115.0
Waynesboro,4,800,200.0,200.0
Waynesburg,1,200,200.0,200.0
Weatherford,2,230,115.0,115.0
Weaverville,1,30,30.0,30.0
Webster,4,630,157.5,157.5
Webster City,1,30,30.0,30.0
Webster Springs,1,30,30.0,30.0
Wedowee,1,200,200.0,200.0
Weimar,1,200,200.0,200.0
Weirton,1,200,200.0,200.0
Weiser,1,30,30.0,30.0
Welch,1,200,200.0,200.0
Wellington,3,430,143.33333333333334,143.33333333333334
Wellsboro,1,30,30.0,30.0
Wellsville,1,200,200.0,200.0
Wenatchee,2,400,200.0,200.0
Weslaco,1,200,200.0,200.0
Wesley Chapel,1,200,200.0,200.0
Wessington Springs,1,30,30.0,30.0
West Allis,1,200,200.0,200.0
West Bend,1,200,200.0,200.0
West Bloomfield,1,200,200.0,200.0
West Branch,1,200,200.0,200.0
West Burlington,1,200,200.0,200.0
West Chester,2,400,200.0,200.0
West Columbia,1,200,200.0,200.0
West Covina,1,200,200.0,200.0
West Grove,1,200,200.0,200.0
West Hartford,1,200,200.0,200.0
West Haverstraw,1,200,200.0,200.0
West Hills,1,200,200.0,200.0
West Islip,1,200,200.0,200.0
West Jordan,1,200,200.0,200.0
West Liberty,1,30,30.0,30.0
West Monroe,1,200,200.0,200.0
West Palm Beach,2,400,200.0,200.0
West Plains,1,200,200.0,200.0
West Point,2,230,115.0,115.0
West Union,1,30,30.0,30.0
Westbrook,1,30,30.0,30.0
Westerly,1,200,200.0,200.0
Westerville,1,200,200.0,200.0
Westfield,2,400,200.0,200.0
Westlake,1,200,200.0,200.0
Westminster,2,400,200.0,200.0
Weston,3,600,200.0,200.0
Westwood,1,200,200.0,200.0
Wetumpka,1,200,200.0,200.0
Wharton,1,200,200.0,200.0
Wheat Ridge,1,200,200.0,200.0
Wheatland,1,30,30.0,30.0
Wheaton,1,30,30.0,30.0
Wheeler,1,30,30.0,30.0
Wheeling,2,400,200.0,200.0
White Plains,1,200,200.0,200.0
White Salmon,1,30,30.0,30.0
White Sulphur Spring,1,30,30.0,30.0
Whitefish,1,30,30.0,30.0
Whitehall,1,30,30.0,30.0
Whiteriver,1,200,200.0,200.0
Whitesburg,1,200,200.0,200.0
Whiteville,1,200,200.0,200.0
Whitfield,1,200,200.0,200.0
Whittier,2,400,200.0,200.0
Wichita,6,1200,200.0,200.0
Wichita Falls,2,400,200.0,200.0
Wickenburg,1,30,30.0,30.0
Wiggins,1,30,30.0,30.0
Wilburton,1,200,200.0,200.0
Wild Rose,1,30,30.0,30.0
Wilkes Barre,1,200,200.0,200.0
Wilkes-Barre,1,200,200.0,200.0
Willard,1,30,30.0,30.0
Willcox,1,30,30.0,30.0
Williamsburg,2,400,200.0,200.0
Williamson,1,200,200.0,200.0
Williamsport,2,230,115.0,115.0
Williamston,1,200,200.0,200.0
Williamstown,1,30,30.0,30.0
Willimantic,1,200,200.0,200.0
Willingboro,1,200,200.0,200.0
Williston,2,230,115.0,115.0
Willits,1,30,30.0,30.0
Willmar,1,200,200.0,200.0
Willows,1,30,30.0,30.0
Wilmington,5,900,180.0,180.0
Wilson,1,200,200.0,200.0
Winamac,1,30,30.0,30.0
Winchester,6,860,143.33333333333334,143.33333333333334
Windber,1,200,200.0,200.0
Winder,1,200,200.0,200.0
Windom,1,30,30.0,30.0
Windsor,2,60,30.0,30.0
Winfield,3,430,143.33333333333334,143.33333333333334
Winnemucca,1,30,30.0,30.0
Winner,1,30,30.0,30.0
Winnfield,1,200,200.0,200.0
Winnie,1,30,30.0,30.0
Winnsboro,3,260,86.66666666666667,86.66666666666667
Winona,2,230,115.0,115.0
Winslow,1,30,30.0,30.0
Winston-Salem,3,600,200.0,200.0
Winter Haven,1,200,200.0,200.0
Winters,1,30,30.0,30.0
Winterset,1,30,30.0,30.0
Wisconsin Rapids,1,200,200.0,200.0
Wishek,1,30,30.0,30.0
Wolf Point,1,30,30.0,30.0
Wolfeboro,1,30,30.0,30.0
Woodbridge,1,200,200.0,200.0
Woodbury,3,600,200.0,200.0
Woodland,1,200,200.0,200.0
Woodland Hills,2,400,200.0,200.0
Woodland Park,1,30,30.0,30.0
Woodruff,1,200,200.0,200.0
Woodstock,2,230,115.0,115.0
Woodsville,1,30,30.0,30.0
Woodville,1,200,200.0,200.0
Woodward,1,200,200.0,200.0
Woonsocket,1,200,200.0,200.0
Wooster,1,200,200.0,200.0
Worcester,3,600,200.0,200.0
Worland,1,30,30.0,30.0
Worthington,1,200,200.0,200.0
Wrangell,1,30,30.0,30.0
Wray,1,30,30.0,30.0
Wyandotte,1,200,200.0,200.0
Wynne,1,30,30.0,30.0
Wynnewood,1,200,200.0,200.0
Wyoming,2,400,200.0,200.0
Wyomissing,1,200,200.0,200.0
Wytheville,1,200,200.0,200.0
Xenia,1,200,200.0,200.0
Yakima,2,400,200.0,200.0
Yankton,2,400,200.0,200.0
Yauco,1,200,200.0,200.0
Yazoo City,1,30,30.0,30.0
Yerington,1,30,30.0,30.0
Yoakum,1,30,30.0,30.0
Yonkers,2,400,200.0,200.0
York,7,1230,175.71428571428572,175.71428571428572
Youngstown,3,600,200.0,200.0
Ypsilanti,1,200,200.0,200.0
Yreka,1,30,30.0,30.0
Yuba City,1,200,200.0,200.0
Yukon,1,200,200.0,200.0
Yuma,2,230,115.0,115.0
Zachary,1,200,200.0,200.0
Zanesville,1,200,200.0,200.0
Zeeland,1,200,200.0,200.0
Zephyrhills,1,200,200.0,200.0
Zion,1,200,200.0,200.0
Zuni,1,200,200.0,200.0
